Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,12.2,12.6,12.13,12.59,10.204612,40510800
1/4/2017,12.77,13.27,12.74,13.17,10.674719,77638100
1/5/2017,13.21,13.22,12.63,12.77,10.350507,75628400
1/6/2017,12.8,12.84,12.64,12.76,10.342403,40315900
1/9/2017,12.79,12.86,12.63,12.63,10.237034,39438400
1/10/2017,12.7,13.02,12.66,12.85,10.415352,58703500
1/11/2017,12.71,12.72,12.51,12.67,10.269454,49718700
1/12/2017,12.66,12.68,12.35,12.59,10.204612,36493300
1/13/2017,12.62,12.67,12.5,12.63,10.237034,29197100
1/17/2017,12.65,12.73,12.54,12.61,10.220822,49069500
1/18/2017,12.43,12.45,12.3,12.41,10.220821,33830800
1/19/2017,12.4,12.56,12.34,12.43,10.237295,30135600
1/20/2017,12.45,12.48,12.31,12.36,10.179643,29270000
1/23/2017,12.35,12.38,12.22,12.31,10.138462,31670700
1/24/2017,12.35,12.61,12.34,12.61,10.385541,34625200
1/25/2017,12.71,12.8,12.64,12.79,10.533789,46747800
1/26/2017,12.65,12.68,12.35,12.37,10.187878,55672800
1/27/2017,12.48,12.54,12.38,12.49,10.286712,34613900
1/30/2017,12.46,12.46,12.28,12.37,10.187878,39254200
1/31/2017,12.31,12.39,12.19,12.36,10.179643,46974500
2/1/2017,12.45,12.58,12.22,12.32,10.146698,44396800
2/2/2017,12.3,12.37,12.23,12.28,10.113755,29035400
2/3/2017,12.42,12.62,12.39,12.56,10.344363,38245300
2/6/2017,12.55,12.62,12.46,12.52,10.311418,26916800
2/7/2017,12.5,12.52,12.31,12.34,10.163171,32914400
2/8/2017,12.34,12.45,12.27,12.38,10.196115,26411400
2/9/2017,12.38,12.47,12.35,12.38,10.196115,32924600
2/10/2017,12.44,12.51,12.37,12.51,10.303183,32996500
2/13/2017,12.54,12.62,12.48,12.56,10.344363,24474000
2/14/2017,12.64,12.7,12.59,12.65,10.418487,28355700
2/15/2017,12.62,12.64,12.55,12.63,10.402014,25114400
2/16/2017,12.61,12.64,12.48,12.54,10.32789,22896500
2/17/2017,12.5,12.58,12.42,12.58,10.360833,26407400
2/21/2017,12.61,12.72,12.61,12.69,10.451429,29156200
2/22/2017,12.66,12.77,12.65,12.67,10.434958,24787500
2/23/2017,12.7,12.72,12.55,12.56,10.344363,22520600
2/24/2017,12.51,12.51,12.38,12.47,10.270238,40817300
2/27/2017,12.49,12.68,12.43,12.66,10.426722,41713100
2/28/2017,12.63,12.66,12.45,12.53,10.319654,36089800
3/1/2017,12.66,12.75,12.65,12.69,10.451429,36178600
3/2/2017,12.72,12.75,12.58,12.66,10.426722,33245100
3/3/2017,12.66,12.71,12.53,12.65,10.418487,30429200
3/6/2017,12.58,12.6,12.5,12.52,10.311418,28753600
3/7/2017,12.51,12.53,12.42,12.46,10.262002,25906900
3/8/2017,12.5,12.64,12.46,12.53,10.319654,27327800
3/9/2017,12.54,12.54,12.4,12.5,10.294946,29149100
3/10/2017,12.55,12.63,12.47,12.53,10.319654,34866100
3/13/2017,12.56,12.63,12.5,12.54,10.32789,22625800
3/14/2017,12.51,12.56,12.45,12.55,10.336126,26956700
